strata,su1,su2,su3,su4,su5,x1,x2,x3,x4,yreg,ylogit,yprobit,ymlogit,postid,postw,stdize,stdw,pw1,fpc1,pw2,fpc2,pw3,fpc3,pw4,fpc4,pw5,fpc5,pw6,fpc6,pw,id
1,1,1,1,2,1,.1251884,-.2655652,0,-2.467703,1.622955,0,0,1,2,106177,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,11,33,61.11111,1
1,1,1,1,2,1,-.8245239,.5374118,1,2.827168,.9244353,0,1,4,3,106932,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,11,33,61.11111,2
1,1,1,1,2,1,.5685719,.2952979,0,1.09364,2.018852,0,1,1,5,107066,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,11,33,61.11111,3
1,1,1,1,2,5,-.7660419,.3901524,1,.8966059,1.958782,0,0,4,1,106770,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,13,39,72.22222,4
1,1,1,1,2,5,-1.641824,.1159381,1,1.867304,1.529902,1,0,4,3,106932,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,13,39,72.22222,5
1,1,1,1,2,5,-.7541515,.0508946,0,-2.096701,1.931275,0,1,3,4,106337,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,13,39,72.22222,6
1,1,1,1,2,6,-.7121263,-.0795277,0,-2.504979,.9343169,0,1,3,4,106337,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,13,39,72.22222,7
1,1,1,1,2,6,-.2698076,.6266997,1,-2.28694,2.698545,0,0,2,2,106177,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,13,39,72.22222,8
1,1,1,1,2,6,-.2387145,.1855064,1,1.156303,2.030321,0,1,5,2,106177,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,13,39,72.22222,9
1,1,1,1,2,7,-.565703,.3453867,1,-.8174753,1.585481,0,0,5,3,106932,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,12.25,49,68.05556,10
1,1,1,1,2,7,.1154949,-.3887762,0,-2.420912,2.436563,0,0,4,2,106177,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,12.25,49,68.05556,11
1,1,1,1,2,7,-.9285883,.1771051,0,-.5663553,3.056349,0,0,2,3,106932,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,12.25,49,68.05556,12
1,1,1,1,2,7,1.483186,.5894833,1,2.345018,3.452746,1,1,5,3,106932,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,12.25,49,68.05556,13
1,1,1,1,2,9,.5095842,-.0843535,1,2.926283,3.258416,0,0,5,2,106177,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,10.666667,32,59.25926,14
1,1,1,1,2,9,-1.078755,.0920123,1,-3.662112,2.546288,1,0,5,3,106932,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,10.666667,32,59.25926,15
1,1,1,1,2,9,.2822414,-.8464631,1,1.603448,3.156847,0,0,5,4,106337,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2,10,10.666667,32,59.25926,16
1,1,1,1,3,3,-.3690524,.0347788,0,4.933103,2.783604,0,0,3,1,106770,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.8,54,50,17
1,1,1,1,3,3,-.1861325,.3446765,1,1.293884,1.799713,1,0,3,4,106337,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.8,54,50,18
1,1,1,1,3,3,-1.324216,.394323,0,-.4931112,1.97005,1,1,4,4,106337,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.8,54,50,19
1,1,1,1,3,3,1.40641,.1131795,1,-1.808875,3.4588,1,1,5,3,106932,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.8,54,50,20
1,1,1,1,3,3,.371805,.8815798,0,1.719685,2.787934,1,0,5,4,106337,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.8,54,50,21
1,1,1,1,3,4,.5913907,-.4794307,1,.5666233,3.0053,0,0,3,4,106337,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11,44,50.92593,22
1,1,1,1,3,4,3.340505,.1416471,0,2.277228,4.787921,1,1,5,1,106770,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11,44,50.92593,23
1,1,1,1,3,4,-.657379,.5390761,0,5.086112,1.360156,0,0,4,4,106337,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11,44,50.92593,24
1,1,1,1,3,4,-.7867908,-.0726691,0,4.193862,2.09864,0,0,5,5,107066,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11,44,50.92593,25
1,1,1,1,3,5,.6706062,.5410708,1,-1.546197,2.800299,1,1,1,4,106337,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12,36,55.55556,26
1,1,1,1,3,5,-.3744059,-1.136696,1,1.129546,3.37197,0,0,5,2,106177,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12,36,55.55556,27
